latitude,longitude,elevation
52.532146,-117.644571,1395.8
52.532146,-117.644568,1395.8
52.532151,-117.644571,1395.8
52.532138,-117.64457,1395.8
52.532152,-117.644556,1395.8
52.532161,-117.644543,1395.8
52.532165,-117.644529,1395.8
52.53216,-117.644521,1395.8
52.532164,-117.644521,1395.8
52.532169,-117.644523,1395.8
52.532172,-117.644522,1395.8
52.532171,-117.644517,1395.8
52.532167,-117.644501,1395.8
52.532163,-117.644495,1395.8
52.532165,-117.644484,1395.8
52.532177,-117.644487,1395.8
52.532181,-117.644475,1395.8
52.532194,-117.64448,1395.8
52.532202,-117.644487,1395.8
52.532201,-117.644483,1395.8
52.5322,-117.644479,1395.8
52.532199,-117.644475,1395.8
52.532198,-117.64447,1395.8
52.532198,-117.644466,1395.8
52.532197,-117.644462,1395.8
52.532196,-117.644458,1395.8
52.532195,-117.644454,1395.8
52.532194,-117.64445,1395.8
52.532193,-117.644445,1395.8
52.532193,-117.644441,1395.8
52.532192,-117.644437,1395.8
52.532191,-117.644433,1395.8
52.53219,-117.644429,1395.8
52.532189,-117.644425,1395.8
52.532188,-117.64442,1395.8
52.532187,-117.644416,1395.8
52.532185,-117.644407,1395.8
52.532183,-117.644401,1395.8
52.532181,-117.644394,1395.8
52.53218,-117.644388,1395.8
52.532178,-117.644382,1395.8
52.532176,-117.644376,1395.8
52.532175,-117.644369,1395.8
52.532173,-117.644363,1395.8
52.532171,-117.644357,1395.8
52.53217,-117.644351,1395.8
52.532179,-117.644376,1395.8
52.532182,-117.644385,1395.8
52.532186,-117.644395,1395.8
52.53219,-117.644404,1395.8
52.532193,-117.644414,1395.8
52.532188,-117.644416,1395.8
52.532188,-117.644416,1395.8
52.532188,-117.644416,1395.8
52.532188,-117.644416,1395.8
52.532181,-117.644414,1395.7
52.532183,-117.644422,1395.7
52.532183,-117.644423,1395.7
52.532183,-117.644423,1395.7
52.532183,-117.644423,1395.7
52.532183,-117.644423,1395.7
52.532172,-117.644416,1395.7
52.532172,-117.644416,1395.7
52.532173,-117.644445,1395.7
52.532173,-117.644431,1395.7
52.532173,-117.644422,1395.7
52.532172,-117.644412,1395.7
52.532172,-117.644403,1395.7
52.532172,-117.644394,1395.7
52.532171,-117.644385,1395.7
52.53216,-117.644377,1395.7
52.532166,-117.644362,1395.7
52.532172,-117.644365,1395.7
52.532178,-117.644361,1395.7
52.532183,-117.644358,1395.7
52.532183,-117.644354,1395.7
52.532182,-117.644348,1395.7
52.532187,-117.644354,1395.7
52.532189,-117.644344,1395.7
52.532191,-117.644356,1395.7
52.532191,-117.644357,1395.7
52.532191,-117.644357,1395.7
52.532191,-117.644357,1395.7
52.532191,-117.644357,1395.7
52.532191,-117.644357,1395.7
52.532191,-117.644357,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532193,-117.64438,1395.7
52.532194,-117.644393,1395.7
52.532196,-117.644383,1395.7
52.532201,-117.644367,1395.7
52.532204,-117.644383,1395.6
52.532205,-117.644387,1395.6
52.532208,-117.64441,1395.6
52.532214,-117.644421,1395.6
52.532209,-117.644432,1395.6
52.532217,-117.644453,1395.6
52.532225,-117.644476,1395.6
52.53222,-117.644489,1395.6
52.532228,-117.644501,1395.6
52.532231,-117.644522,1395.6
52.532237,-117.644531,1395.6
52.532245,-117.644538,1395.6
52.532248,-117.644545,1395.6
52.532252,-117.644554,1395.6
52.53225,-117.644589,1395.6
52.532263,-117.644588,1395.6
52.532253,-117.644604,1395.6
52.532241,-117.644599,1395.5
52.53224,-117.644603,1395.5
52.532239,-117.644606,1395.5
52.532238,-117.64461,1395.5
52.532237,-117.644613,1395.5
52.532236,-117.644616,1395.5
52.532235,-117.64462,1395.5
52.532234,-117.644623,1395.5
52.532233,-117.644627,1395.5
52.532232,-117.64463,1395.5
52.532231,-117.644634,1395.5
52.53223,-117.644637,1395.5
52.532229,-117.64464,1395.5
52.532228,-117.644644,1395.5
52.532227,-117.644647,1395.5
52.532226,-117.644651,1395.5
52.532225,-117.644654,1395.5
52.532231,-117.644663,1395.5
52.532246,-117.644673,1395.5
52.532242,-117.644675,1395.5
52.532227,-117.644692,1395.5
52.532232,-117.644687,1395.5
52.53223,-117.644674,1395.5
52.532233,-117.644678,1395.5
52.53222,-117.644674,1395.5
52.532206,-117.644692,1395.5
52.532206,-117.644704,1395.5
52.532193,-117.644698,1395.5
52.532186,-117.644709,1395.5
52.532174,-117.644712,1395.4
52.532173,-117.644722,1395.4
52.532179,-117.64471,1395.4
52.532179,-117.64471,1395.4
52.532185,-117.644688,1395.4
52.532196,-117.644694,1395.4
52.532185,-117.644693,1395.4
52.532185,-117.644692,1395.4
52.532185,-117.644692,1395.4
52.532183,-117.644708,1395.4
52.532186,-117.644727,1395.4
52.532184,-117.644735,1395.4
52.532177,-117.64475,1395.4
52.532185,-117.644751,1395.4
52.532185,-117.644751,1395.4
52.532181,-117.644758,1395.4
52.532172,-117.644764,1395.4
52.532168,-117.644766,1395.4
52.532165,-117.644767,1395.4
52.532162,-117.644769,1395.4
52.532158,-117.644771,1395.4
